Source,Target,Type,Id,Label,Weight
3,0,Directed,0,,1
0,1,Directed,1,,1
1,2,Directed,2,,1
1,5,Directed,3,,1
5,6,Directed,4,,1
6,7,Directed,5,,1
7,8,Directed,6,,1
8,9,Directed,7,,1
8,10,Directed,8,,1
8,11,Directed,9,,1
11,12,Directed,10,,1
12,13,Directed,11,,1
13,14,Directed,12,,1
14,15,Directed,13,,1
15,16,Directed,14,,1
14,17,Directed,15,,1
5,18,Directed,16,,1
14,19,Directed,17,,1
19,20,Directed,18,,1
12,21,Directed,20,,1
21,22,Directed,21,,1
22,24,Directed,22,,1
22,23,Directed,23,,1
14,27,Directed,35,,1
14,26,Directed,32,,1
26,29,Directed,36,,1
14,25,Directed,37,,1
7,30,Directed,38,,1
7,31,Directed,39,,1
22,33,Directed,40,,1
14,32,Directed,42,,1
33,35,Directed,46,,1
33,34,Directed,45,,1
35,38,Directed,47,,1
35,39,Directed,48,,1
34,38,Directed,49,,1
34,39,Directed,50,,1
38,36,Directed,51,,1
38,37,Directed,52,,1
39,37,Directed,53,,1
39,36,Directed,54,,1
37,4,Directed,55,,1
36,4,Directed,56,,1
